"category","action","sourcePath","destinationPath","mappingRule","reviewReason","size","sha256","remoteExists","remoteSize","remoteEtag","remoteContentType","databaseReferenced"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/parrot/parrot_1.png","nouns/parrot/parrot_1.png","preserve_relative_path","","824013","0dd10218b22c641371cce768626cea9736fdcce3fe975cc6bcd8c0b0e1d9990c","true","824013","6dca9b678586c05c159cad46a019b120","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/parrot/parrot_2.png","nouns/parrot/parrot_2.png","preserve_relative_path","","1487088","7eda182a63fe45e9872558c92d075b2657e234c66862e64a98e9e4ff5a3dd081","true","1487088","1ecabfc5d651a2ff9dc2119258f5e3f0","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pasta/pasta_1.png","nouns/pasta/pasta_1.png","preserve_relative_path","","1040218","bc749673c4fbfc166ed1cd81654e3483643aa1e21dad6ad3a60b2ed110236e09","true","1040218","963e1ce5deaa844ff75d6127c72333b8","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pasta/pasta_2.png","nouns/pasta/pasta_2.png","preserve_relative_path","","2179993","06a34adf52a4dfc90db8d32a0244b75df0ee4f693952adb984d3966e780bbb95","true","2179993","7ec95facdfc0ba7c1fc5637c569a88f3","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pe/pe_1.png","nouns/pe/pe_1.png","preserve_relative_path","","2403274","4bda2fb2058c144114d9622e9a76ecc4ed33e7b4217cdd680c44d9101bc0f4f0","true","2403274","aba237efc2749334000fa7e69be81c8e","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pe/pe_2.png","nouns/pe/pe_2.png","preserve_relative_path","","1450845","d10aabd3ff039d0fb4cdd7fa4f6a4518c695f6841605c6f277be052481118dd7","true","1450845","108cd36719fa77f518020ca7963d1e35","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pe/pe_3.png","nouns/pe/pe_3.png","preserve_relative_path","","2466153","2d52602bb76651d22164a01b1ec23fd61c8d77264eba446e444e42c04c60526d","true","2466153","f09ccc5778c2c3e1a7e088772682e40c","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/peach/peach_1.png","nouns/peach/peach_1.png","preserve_relative_path","","901756","fc5ef675412d2915dda77c10f86c58b40ecbf05dd5847ccce255559e7075f256","true","901756","694d4fb3b0c4748daeee0d271c341f49","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/peach/peach_2.png","nouns/peach/peach_2.png","preserve_relative_path","","1116345","34bbfd822508877212b78d7953a91ede216eedfc07ba5e373c2b5e856165085a","true","1116345","6480bf02af1b4a51241d200251c58ea1","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/peach/peach_3.png","nouns/peach/peach_3.png","preserve_relative_path","","1470518","c3a7638aeb079e7f5f194f84bcdaacb73e26993826a45ca8bb7ff2546a5c4398","true","1470518","56211528d015d70f7ef66920196d7e42","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pear/pear_1.png","nouns/pear/pear_1.png","preserve_relative_path","","842161","043dd6bca1f4392bf7acaaf82841c666bd7c7683759722e441f702292928f23b","true","842161","c69b7dfbe1e06ba5cece9c1a62b88d4d","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pear/pear_2.png","nouns/pear/pear_2.png","preserve_relative_path","","1216928","71ae0be98f5882f12cc2dd5155bc335ff8fe51f1f710b2d8de2b4373ab32748d","true","1216928","77dd70bca968b3787b40e12457ea54af","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pear/pear_3.png","nouns/pear/pear_3.png","preserve_relative_path","","613455","9d5188d059e4020da2b47b8de0ac50215f9c7fd898fdd3e26ecd5c7bf9725506","true","613455","07b5165486ef45af235937cfd4bf4397","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/peeler/peeler_1.png","nouns/peeler/peeler_1.png","preserve_relative_path","","329812","04e232592b8cdbf2477462d7b33a92ad3ba3bfce05aa924de68e720118029e9d","true","329812","a587dc557685633ea653fce56ea85531","image/png","false"
